Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-07-26,2019,7,26,†,30.5,,15.0,,22.8,,0.0,,4.8,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-07-27,2019,7,27,†,30.0,,16.0,,23.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-07-28,2019,7,28,†,32.0,,20.0,,26.0,,0.0,,8.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-07-29,2019,7,29,†,31.0,,19.5,,25.3,,0.0,,7.3,,4.6,,0.0,,4.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-07-30,2019,7,30,†,29.5,,19.5,,24.5,,0.0,,6.5,,1.2,,0.0,,1.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-07-31,2019,7,31,†,28.0,,16.0,,22.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-01,2019,8,1,†,27.0,,13.0,,20.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-02,2019,8,2,†,29.0,,12.0,,20.5,,0.0,,2.5,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-03,2019,8,3,†,30.5,,13.0,,21.8,,0.0,,3.8,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-04,2019,8,4,†,27.0,,18.5,,22.8,,0.0,,4.8,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-05,2019,8,5,†,30.5,,12.5,,21.5,,0.0,,3.5,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-06,2019,8,6,†,27.0,,19.0,,23.0,,0.0,,5.0,,4.0,,0.0,,4.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-07,2019,8,7,†,29.0,,19.5,,24.3,,0.0,,6.3,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-08,2019,8,8,†,27.0,,14.5,,20.8,,0.0,,2.8,,1.4,,0.0,,1.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-09,2019,8,9,†,26.0,,15.0,,20.5,,0.0,,2.5,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-10,2019,8,10,†,25.0,,14.0,,19.5,,0.0,,1.5,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-11,2019,8,11,†,29.0,,13.0,,21.0,,0.0,,3.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-12,2019,8,12,†,30.0,,16.0,,23.0,,0.0,,5.0,,0.2,,0.0,,0.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-13,2019,8,13,†,30.0,,17.0,,23.5,,0.0,,5.5,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-14,2019,8,14,†,26.5,,17.5,,22.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-15,2019,8,15,†,25.0,,13.5,,19.3,,0.0,,1.3,,1.6,,0.0,,1.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-16,2019,8,16,†,27.0,,14.0,,20.5,,0.0,,2.5,,8.4,,0.0,,8.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-17,2019,8,17,†,29.0,,17.0,,23.0,,0.0,,5.0,,5.4,,0.0,,5.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-18,2019,8,18,†,29.0,,17.5,,23.3,,0.0,,5.3,,1.8,,0.0,,1.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-19,2019,8,19,†,28.5,,19.5,,24.0,,0.0,,6.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-20,2019,8,20,†,29.5,,13.5,,21.5,,0.0,,3.5,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-21,2019,8,21,†,31.5,,20.0,,25.8,,0.0,,7.8,,3.2,,0.0,,3.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-22,2019,8,22,†,24.5,,16.0,,20.3,,0.0,,2.3,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-23,2019,8,23,†,23.5,,11.5,,17.5,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-24,2019,8,24,†,23.5,,10.5,,17.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-25,2019,8,25,†,24.5,,10.0,,17.3,,0.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-26,2019,8,26,†,25.0,,13.5,,19.3,,0.0,,1.3,,1.4,,0.0,,1.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-27,2019,8,27,†,21.0,,17.5,,19.3,,0.0,,1.3,,7.6,,0.0,,7.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-28,2019,8,28,†,27.5,,16.0,,21.8,,0.0,,3.8,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-29,2019,8,29,†,26.0,,16.0,,21.0,,0.0,,3.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-30,2019,8,30,†,25.0,,16.0,,20.5,,0.0,,2.5,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-08-31,2019,8,31,†,23.0,,12.0,,17.5,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-01,2019,9,1,†,20.0,,12.0,,16.0,,2.0,,0.0,,3.4,,0.0,,3.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-02,2019,9,2,†,24.5,,15.5,,20.0,,0.0,,2.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-03,2019,9,3,†,22.5,,11.5,,17.0,,1.0,,0.0,,5.4,,0.0,,5.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-04,2019,9,4,†,20.5,,17.0,,18.8,,0.0,,0.8,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-05,2019,9,5,†,24.0,,8.0,,16.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-06,2019,9,6,†,22.0,,10.0,,16.0,,2.0,,0.0,,2.0,,0.0,,2.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-07,2019,9,7,†,23.5,,10.0,,16.8,,1.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-08,2019,9,8,†,18.0,,12.0,,15.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-09,2019,9,9,†,20.5,,9.0,,14.8,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-10,2019,9,10,†,23.0,,8.5,,15.8,,2.2,,0.0,,20.8,,0.0,,20.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-11,2019,9,11,†,29.5,,17.0,,23.3,,0.0,,5.3,,1.0,,0.0,,1.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-12,2019,9,12,†,21.5,,12.5,,17.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-13,2019,9,13,†,21.0,,12.0,,16.5,,1.5,,0.0,,4.4,,0.0,,4.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-14,2019,9,14,†,23.5,,16.0,,19.8,,0.0,,1.8,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-15,2019,9,15,†,18.5,,9.5,,14.0,,4.0,,0.0,,4.2,,0.0,,4.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-16,2019,9,16,†,18.5,,14.0,,16.3,,1.7,,0.0,,1.8,,0.0,,1.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-17,2019,9,17,†,24.0,,8.0,,16.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-18,2019,9,18,†,23.5,,9.5,,16.5,,1.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-19,2019,9,19,†,24.0,,11.0,,17.5,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-20,2019,9,20,†,26.0,,10.0,,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-21,2019,9,21,†,28.5,,14.0,,21.3,,0.0,,3.3,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-22,2019,9,22,†,31.0,,16.5,,23.8,,0.0,,5.8,,0.4,,0.0,,0.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-23,2019,9,23,†,25.0,,21.5,,23.3,,0.0,,5.3,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-24,2019,9,24,†,22.0,,13.0,,17.5,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-25,2019,9,25,†,25.5,,9.0,,17.3,,0.7,,0.0,,3.4,,0.0,,3.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-26,2019,9,26,†,22.0,,14.5,,18.3,,0.0,,0.3,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-27,2019,9,27,†,22.5,,6.0,,14.3,,3.7,,0.0,,2.6,,0.0,,2.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-28,2019,9,28,†,21.0,,14.5,,17.8,,0.2,,0.0,,0.8,,0.0,,0.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-29,2019,9,29,†,18.5,,8.5,,13.5,,4.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-09-30,2019,9,30,†,17.5,,11.0,,14.3,,3.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-01,2019,10,1,†,31.0,,13.5,,22.3,,0.0,,4.3,,12.4,,0.0,,12.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-02,2019,10,2,†,16.0,,13.5,,14.8,,3.2,,0.0,,1.2,,0.0,,1.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-03,2019,10,3,†,10.5,,7.5,,9.0,,9.0,,0.0,,1.8,,0.0,,1.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-04,2019,10,4,†,12.0,,6.5,,9.3,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-05,2019,10,5,†,14.0,,2.5,,8.3,,9.7,,0.0,,1.8,,0.0,,1.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-06,2019,10,6,†,21.0,,10.0,,15.5,,2.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-07,2019,10,7,†,18.0,,9.5,,13.8,,4.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-08,2019,10,8,†,19.0,,3.5,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-09,2019,10,9,†,17.5,,4.0,,10.8,,7.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-10,2019,10,10,†,17.0,,5.0,,11.0,,7.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-11,2019,10,11,†,19.5,,7.0,,13.3,,4.7,,0.0,,5.5,,0.0,,5.5,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-12,2019,10,12,†,14.0,,10.0,,12.0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-13,2019,10,13,†,16.5,,0.0,,8.3,,9.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-14,2019,10,14,†,12.5,,6.0,,9.3,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-15,2019,10,15,†,15.0,,0.0,,7.5,,10.5,,0.0,,14.6,,0.0,,14.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-16,2019,10,16,†,12.0,,9.5,,10.8,,7.2,,0.0,,7.2,,0.0,,7.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-17,2019,10,17,†,9.0,,6.0,,7.5,,10.5,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-18,2019,10,18,†,11.0,,4.0,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-19,2019,10,19,†,13.0,,-2.0,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-20,2019,10,20,†,18.5,,4.0,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-21,2019,10,21,†,15.0,,4.0,,9.5,,8.5,,0.0,,9.4,,0.0,,9.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-22,2019,10,22,†,16.5,,11.5,,14.0,,4.0,,0.0,,4.4,,0.0,,4.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-23,2019,10,23,†,13.5,,4.5,,9.0,,9.0,,0.0,,0.6,,0.0,,0.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-24,2019,10,24,†,14.0,,5.0,,9.5,,8.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-25,2019,10,25,†,12.0,,2.5,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-26,2019,10,26,†,11.5,,-1.5,,5.0,,13.0,,0.0,,35.8,,0.0,,35.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-27,2019,10,27,†,14.0,,7.5,,10.8,,7.2,,0.0,,4.0,,0.0,,4.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-28,2019,10,28,†,17.5,,3.0,,10.3,,7.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-29,2019,10,29,†,16.5,,4.0,,10.3,,7.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-30,2019,10,30,†,9.0,,6.0,,7.5,,10.5,,0.0,,23.2,,0.0,,23.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-10-31,2019,10,31,†,11.0,,6.0,,8.5,,9.5,,0.0,,11.8,,0.0,,11.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-01,2019,11,1,†,5.5,,1.5,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-02,2019,11,2,†,7.5,,0.0,,3.8,,14.2,,0.0,,1.8,,0.0,,1.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-03,2019,11,3,†,6.0,,0.5,,3.3,,14.7,,0.0,,1.2,,0.0,,1.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-04,2019,11,4,†,12.0,,1.0,,6.5,,11.5,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-05,2019,11,5,†,8.5,,5.0,,6.8,,11.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-06,2019,11,6,†,5.0,,-2.0,,1.5,,16.5,,0.0,,1.8,,4.2,,6.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-07,2019,11,7,†,2.5,,-2.0,,0.3,,17.7,,0.0,,0.0,,0.2,,0.0,,4.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-08,2019,11,8,†,0.5,,-7.0,,-3.3,,21.3,,0.0,,0.0,,0.0,,0.0,,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-09,2019,11,9,†,3.5,,-5.0,,-0.8,,18.8,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-10,2019,11,10,†,7.0,,0.5,,3.8,,14.2,,0.0,,0.0,,0.0,T,0.4,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-11,2019,11,11,†,-2.0,,-5.0,,-3.5,,21.5,,0.0,,0.0,,16.4,,12.8,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-12,2019,11,12,†,-4.0,,-9.0,,-6.5,,24.5,,0.0,,0.0,,0.0,T,0.0,,11.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-13,2019,11,13,†,-1.0,,-16.5,,-8.8,,26.8,,0.0,,0.0,,2.4,,2.0,,7.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-14,2019,11,14,†,0.5,,-5.5,,-2.5,,20.5,,0.0,,0.0,,0.0,T,0.4,,8.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-15,2019,11,15,†,4.0,,-1.0,,1.5,,16.5,,0.0,,0.0,,0.0,T,0.0,,5.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-16,2019,11,16,†,-3.5,,-11.0,,-7.3,,25.3,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-17,2019,11,17,†,2.5,,-7.5,,-2.5,,20.5,,0.0,,1.2,,0.2,,1.6,,5.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-18,2019,11,18,†,2.0,,-3.5,,-0.8,,18.8,,0.0,,5.0,,0.2,,5.2,,4.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-19,2019,11,19,†,4.5,,-0.5,,2.0,,16.0,,0.0,,0.2,,0.0,,0.2,,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-20,2019,11,20,†,6.0,,1.0,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-21,2019,11,21,†,10.5,,-3.5,,3.5,,14.5,,0.0,,4.8,,0.0,,4.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-22,2019,11,22,†,4.0,,0.0,,2.0,,16.0,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-23,2019,11,23,†,6.0,,-4.0,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-24,2019,11,24,†,6.5,,-4.5,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-25,2019,11,25,†,7.5,,0.0,,3.8,,14.2,,0.0,,0.6,,0.0,,0.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-26,2019,11,26,†,11.0,,-0.5,,5.3,,12.7,,0.0,,0.6,,0.0,,0.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-27,2019,11,27,†,9.5,,1.0,,5.3,,12.7,,0.0,,6.2,,0.0,,6.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-28,2019,11,28,†,2.0,,-1.0,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-29,2019,11,29,†,-1.0,,-4.0,,-2.5,,20.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-11-30,2019,11,30,†,-1.5,,-5.5,,-3.5,,21.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-01,2019,12,1,†,-2.0,,-6.5,,-4.3,,22.3,,0.0,,0.4,,9.8,,16.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-02,2019,12,2,†,-0.5,,-5.0,,-2.8,,20.8,,0.0,,0.0,,0.4,,0.6,,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-03,2019,12,3,†,1.5,,-12.5,,-5.5,,23.5,,0.0,,0.0,,1.2,,1.6,,8.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-04,2019,12,4,†,3.0,,-1.5,,0.8,,17.2,,0.0,,0.0,,0.0,T,0.0,,8.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-05,2019,12,5,†,0.5,,-2.0,,-0.8,,18.8,,0.0,,0.0,,6.6,,6.4,,5.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-06,2019,12,6,†,0.0,,-3.0,,-1.5,,19.5,,0.0,,0.0,,0.2,,0.2,,12.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-07,2019,12,7,†,0.0,,-6.5,,-3.3,,21.3,,0.0,,0.0,,0.0,,0.0,,12.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-08,2019,12,8,†,6.0,,-10.0,,-2.0,,20.0,,0.0,,0.4,,0.0,,0.4,,10.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-09,2019,12,9,†,10.0,,2.5,,6.3,,11.7,,0.0,,6.0,,0.0,,6.0,,6.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-10,2019,12,10,†,1.5,,-3.0,,-0.8,,18.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-11,2019,12,11,†,-2.5,,-9.5,,-6.0,,24.0,,0.0,,0.0,,0.2,,0.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-12,2019,12,12,†,-1.0,,-11.0,,-6.0,,24.0,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-13,2019,12,13,†,5.0,,-5.5,,-0.3,,18.3,,0.0,,4.6,,0.0,,4.6,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-14,2019,12,14,†,2.5,,-0.5,,1.0,,17.0,,0.0,,10.6,,1.0,,15.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-15,2019,12,15,†,-0.5,,-3.0,,-1.8,,19.8,,0.0,,0.0,,0.0,T,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-16,2019,12,16,†,1.5,,-6.5,,-2.5,,20.5,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-17,2019,12,17,†,1.0,,-7.5,,-3.3,,21.3,,0.0,,0.0,,0.6,,0.4,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-18,2019,12,18,†,-6.0,,-11.5,,-8.8,,26.8,,0.0,,0.0,,0.2,,0.2,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-19,2019,12,19,†,-7.0,,-17.5,,-12.3,,30.3,,0.0,,0.0,,7.8,,2.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-20,2019,12,20,†,-3.0,,-12.5,,-7.8,,25.8,,0.0,,0.0,,0.0,,0.0,,6.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2019-12-21,2019,12,21,†,3.0,,-10.5,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
